  STN,YYYYMMDD,   TG,   TN,   TX,   SQ,   SP,  DR,   RH,  RHX
  260,19990703,  202,  140,  272,  104,   63,   3,   11,   11
  260,19990704,  192,  129,  241,   36,   22,  26,   97,   47
  260,19990705,  173,  155,  193,    1,    1,  56,  153,   55
  260,19990706,  177,  132,  220,   71,   43,   0,    0,    0
  260,19990707,  178,  114,  234,   37,   22,   2,    5,    5
  260,19990708,  188,  148,  230,   76,   46,   0,    0,    0
  260,19990709,  197,  124,  249,  152,   92,   0,    0,    0
  260,19990710,  215,  140,  271,  131,   80,   0,    0,    0
  260,19990711,  234,  179,  286,  142,   86,   0,    0,    0
  260,19990712,  228,  174,  281,   76,   46,   0,    0,    0
  260,19990713,  198,  160,  244,   44,   27,   0,    0,    0
  260,19990714,  170,  132,  200,   56,   34,  15,   11,    8
  260,19990715,  165,  111,  210,   95,   58,   0,   -1,   -1
  260,19990716,  171,   95,  228,   94,   58,   0,    0,    0
  260,19990717,  184,  122,  243,   71,   44,   0,    0,    0
  260,19990718,  218,  121,  292,  109,   67,   0,    0,    0
  260,19990719,  223,  151,  295,   68,   42,   0,   -1,   -1
  260,19990720,  208,  165,  255,   47,   29,   5,    5,    4
  260,19990721,  170,  144,  220,   33,   21,  21,   16,   11
  260,19990722,  147,  124,  176,   27,   17,  51,   55,   19
  260,19990723,  154,  128,  193,   35,   22,   0,   -1,   -1
  260,19990724,  200,  147,  260,  117,   73,   0,    0,    0
  260,19990725,  202,  131,  280,   68,   43,   0,    0,    0
  260,19990726,  170,  126,  212,  111,   70,   0,    0,    0
  260,19990727,  163,   85,  213,  141,   89,   0,    0,    0
  260,19990728,  190,  113,  258,  142,   90,   0,    0,    0
  260,19990729,  216,  122,  280,  144,   92,   0,    0,    0
  260,19990730,  231,  143,  296,  133,   85,   0,    0,    0
  260,19990731,  228,  146,  306,  106,   68,   0,   -1,   -1
  350,19990701,  152,   94,  185,   33,   20,   7,    4,    3
  350,19990702,  186,  143,  243,   57,   34,   0,    0,    0
  350,19990703,  209,  137,  274,   84,   51,   0,    0,    0
  350,19990704,  199,  147,  248,   29,   18,  28,  149,   81
  350,19990705,  172,  120,  211,   44,   27,  29,   57,   22
  350,19990706,  178,  113,  235,   81,   49,   0,    0,    0
  350,19990707,  178,  112,  243,   39,   24,   4,    2,    2
  350,19990708,  186,  148,  239,   67,   41,   0,    0,    0
  350,19990709,  192,  121,  252,  144,   88,   0,    0,    0
  350,19990710,  212,  132,  275,  113,   69,   0,    0,    0
  350,19990711,  233,  168,  292,  143,   87,   0,    0,    0
  350,19990712,  235,  178,  291,  111,   68,   0,    0,    0
  350,19990713,  192,  153,  258,   50,   31,   0,    0,    0
  350,19990714,  166,  128,  209,   63,   39,  28,   97,   39
  350,19990715,  166,  110,  219,   92,   57,   0,   -1,   -1
  350,19990716,  175,  113,  231,   91,   56,   0,   -1,   -1
  350,19990717,  187,  121,  252,   97,   60,   0,    0,    0
  350,19990718,  225,  135,  300,  134,   83,   0,    0,    0
  350,19990719,  220,  156,  283,   66,   41,   4,    6,    6
  350,19990720,  207,  162,  250,   61,   38,   2,    1,    1
  350,19990721,  171,  153,  194,   36,   23,   0,   -1,   -1
  350,19990722,  146,  129,  194,   15,    9,  68,   78,   24
  350,19990723,  153,  114,  192,   30,   19,   0,   -1,   -1
  350,19990724,  196,  139,  261,   74,   47,   0,    0,    0
  350,19990725,  208,  125,  285,   94,   59,   0,    0,    0
  350,19990726,  177,  123,  228,   89,   56,   0,    0,    0
  350,19990727,  168,   86,  234,  145,   92,   0,    0,    0
  350,19990728,  188,  105,  263,  145,   93,   0,    0,    0
  350,19990729,  212,  126,  286,  145,   93,   0,    0,    0
  350,19990730,  225,  138,  298,  130,   84,   0,    0,    0
  350,19990731,  226,  141,  307,  121,   78,   0,    0,    0
                                               
