  STN,YYYYMMDD,   TG,   TN,   TX,   SQ,   SP,  DR,   RH,  RHX
  251,19990701,  162,  144,  182,   13,    8,   0,   -1,   -1
  251,19990702,  165,  137,  190,   24,   14,  18,    9,    6
  251,19990703,  181,  141,  213,   35,   21,  20,  149,  115
  251,19990704,  180,  158,  211,   82,   49,  15,   18,   14
  251,19990705,  154,  113,  167,    0,    0,  89,  102,   23
  251,19990706,  156,   98,  194,   83,   49,   0,    0,    0
  251,19990707,  168,   95,  220,   80,   48,   0,    0,    0
  251,19990708,  168,  130,  202,  109,   65,   0,    0,    0
  251,19990709,  175,  120,  208,  146,   87,   0,    0,    0
  251,19990710,  185,  131,  221,  138,   83,   0,    0,    0
  251,19990711,  193,  172,  216,  138,   83,   0,    0,    0
  251,19990712,  195,  172,  218,  137,   82,   0,    0,    0
  251,19990713,  179,  116,  210,   40,   24,   0,   -1,   -1
  251,19990714,  164,  140,  192,   90,   54,   5,    2,    2
  251,19990715,  156,   93,  196,   94,   57,   3,    1,    1
  251,19990716,  174,  128,  206,   88,   53,   0,    0,    0
  251,19990717,  172,  119,  202,   55,   33,   0,    0,    0
  251,19990718,  196,  146,  236,  119,   73,   0,    0,    0
  251,19990719,  210,  154,  255,   82,   50,   0,   -1,   -1
  251,19990720,  195,  176,  228,   51,   31,   0,   -1,   -1
  251,19990721,  163,  129,  192,   45,   28,  13,   26,   11
  251,19990722,  148,  133,  166,    1,    1,  74,   64,   16
  251,19990723,  156,  135,  180,   62,   38,   0,   -1,   -1
  251,19990724,  186,  145,  219,  149,   92,   0,    0,    0
  251,19990725,  170,  131,  208,   75,   47,   0,    0,    0
  251,19990726,  160,  137,  191,   95,   59,   0,    0,    0
  251,19990727,  157,  134,  188,   62,   39,   0,    0,    0
  251,19990728,  167,  120,  198,  122,   77,   0,    0,    0
  251,19990729,  190,  143,  237,  148,   93,   0,    0,    0
  251,19990730,  204,  140,  264,  140,   88,   0,    0,    0
  251,19990731,  219,  146,  278,  140,   89,   0,    0,    0
  260,19990701,  157,  121,  183,   32,   19,  11,   12,    9
  260,19990702,  182,  142,  232,   32,   19,   0,   -1,   -1
