  STN,YYYYMMDD,   TG,   TN,   TX,   SQ,   SP,  DR,   RH,  RHX
  251,20090701,  184,  146,  222,  139,   82,   0,    0,    0
  251,20090702,  192,  143,  242,  153,   90,   0,    0,    0
  251,20090703,  211,  157,  294,  103,   61,   0,    0,    0
  251,20090704,  181,  112,  221,  116,   69,   0,    0,    0
  251,20090705,  193,  109,  244,   85,   50,  22,   73,   36
  251,20090706,  183,  144,  212,  138,   82,   0,   -1,   -1
  251,20090707,  165,  112,  202,  111,   66,   6,   32,   32
  251,20090708,  155,   98,  194,   55,   33,   9,   18,   12
  251,20090709,  145,  122,  176,   75,   45,  32,   28,    6
  251,20090710,  144,  125,  165,   23,   14,  64,  104,   31
  251,20090711,  147,   87,  176,   78,   47,   0,   -1,   -1
  251,20090712,  165,  143,  190,   33,   20,  87,  141,   49
  251,20090713,  179,  125,  207,  134,   81,   0,    0,    0
  251,20090714,  192,  168,  218,  102,   62,   1,    5,    5
  251,20090715,  190,  151,  213,  134,   81,   9,   69,   69
  251,20090716,  190,  162,  215,  132,   80,   0,    0,    0
  251,20090717,  183,  168,  211,   58,   35,  33,   93,   38
  251,20090718,  162,  135,  189,   45,   27,   6,   18,   11
  251,20090719,  171,  108,  196,   85,   52,   3,    4,    4
  251,20090720,  169,  146,  190,  114,   70,   3,   12,    7
  251,20090721,  188,  154,  221,   65,   40,   9,    2,    1
  251,20090722,  190,  163,  214,   64,   39,  24,   30,   18
  251,20090723,  178,  162,  201,   60,   37,   6,    3,    3
  251,20090724,  172,  143,  197,   91,   56,   8,   28,   15
  251,20090725,  157,   92,  192,  115,   72,   0,   -1,   -1
  251,20090726,  177,   98,  210,   34,   21,   0,    0,    0
  251,20090727,  171,  118,  210,   31,   19,  19,   12,    7
  251,20090728,  174,  119,  208,  120,   75,   0,    0,    0
  251,20090729,  185,  126,  217,   26,   16,   4,    4,    4
  251,20090730,  159,  134,  189,   84,   53,  20,   64,   28
  251,20090731,  166,  119,  202,  137,   87,   0,    0,    0
  260,20090701,  211,  158,  264,  107,   64,   0,    0,    0
  260,20090702,  234,  166,  297,  106,   64,   0,    0,    0
  260,20090703,  222,  177,  289,   97,   58,   0,    0,    0
  260,20090704,  202,  138,  249,  130,   78,   0,    0,    0
  260,20090705,  206,  123,  277,   91,   55,   0,   -1,   -1
  260,20090706,  185,  149,  231,   91,   55,   4,   17,   17
  260,20090707,  158,  133,  185,   35,   21,  36,  192,   94
  260,20090708,  156,  133,  191,   45,   27,  25,   51,   20
  260,20090709,  151,  126,  181,   57,   35,   0,   -1,   -1
  260,20090710,  144,  122,  172,   16,   10,  51,   41,   14
  260,20090711,  166,  111,  202,   70,   43,   0,   -1,   -1
  260,20090712,  175,  146,  215,   47,   29,  67,   65,   23
  260,20090713,  182,  130,  231,   93,   57,   0,    0,    0
  260,20090714,  195,  120,  253,   77,   47,   0,   -1,   -1
  260,20090715,  197,  146,  239,  115,   71,   1,    3,    3
  260,20090716,  204,  133,  251,  122,   75,   0,    0,    0
  260,20090717,  192,  158,  226,   81,   50,  26,   77,   46
  260,20090718,  160,  143,  196,   46,   28,  24,   41,   14
  260,20090719,  167,  135,  195,   59,   37,  18,   83,   46
  260,20090720,  174,  131,  209,   84,   52,   9,   15,    9
  260,20090721,  191,  112,  266,   58,   36,  15,   95,   68
  260,20090722,  193,  155,  244,   44,   27,  48,  120,   69
  260,20090723,  171,  150,  210,   31,   19,  25,   43,   32
  260,20090724,  163,  139,  204,   65,   41,  18,   57,   20
  260,20090725,  165,  114,  206,  121,   76,   0,   -1,   -1
  260,20090726,  181,  103,  234,   82,   52,   0,   -1,   -1
  260,20090727,  179,  139,  249,   62,   39,   8,    5,    4
  260,20090728,  172,  138,  217,   72,   46,   5,    2,    2
  260,20090729,  194,  139,  251,   28,   18,   6,  117,  117
  260,20090730,  160,  101,  208,   90,   58,  11,   47,   24
  260,20090731,  155,   91,  214,  109,   70,   0,    0,    0
  350,20090701,  215,  155,  284,  112,   68,   0,    0,    0
  350,20090702,  241,  159,  313,  126,   76,   0,    0,    0
  350,20090703,  223,  158,  296,   76,   46,   0,    0,    0
  350,20090704,  209,  145,  280,  125,   76,   0,    0,    0
  350,20090705,  212,  131,  290,   92,   56,   0,   -1,   -1
  350,20090706,  186,  138,  249,   96,   58,   0,   -1,   -1
  350,20090707,  154,  134,  206,   42,   26,  62,  148,   45
  350,20090708,  156,  107,  202,   47,   29,  34,   78,   32
  350,20090709,  132,   90,  176,   14,    9,  30,  110,   53
  350,20090710,  136,  115,  160,    3,    2,  48,   65,   18
  350,20090711,  163,  118,  210,   27,   17,   7,    7,    4
  350,20090712,  175,  122,  225,   47,   29,  35,   28,    9
  350,20090713,  180,  112,  239,   90,   55,   0,    0,    0
  350,20090714,  197,  118,  256,   74,   46,   0,   -1,   -1
  350,20090715,  199,  154,  249,  106,   65,   0,   -1,   -1
  350,20090716,  208,  126,  265,  110,   68,   0,    0,    0
  350,20090717,  194,  147,  234,   83,   51,  14,   14,    6
