  STN,YYYYMMDD,   TG,   TN,   TX,   SQ,   SP,  DR,   RH,  RHX
  350,20090718,  161,  139,  209,   40,   25,  33,   31,   10
  350,20090719,  161,  131,  207,   50,   31,  36,   73,   16
  350,20090720,  174,  140,  220,   72,   45,   5,    6,    6
  350,20090721,  199,  108,  291,   55,   34,  16,   58,   38
  350,20090722,  199,  153,  264,   44,   28,  34,   93,   51
  350,20090723,  168,  150,  206,   15,    9,  28,   37,   25
  350,20090724,  163,  120,  218,   59,   37,  20,   71,   48
  350,20090725,  166,  102,  216,  121,   77,   6,    6,    3
  350,20090726,  182,   92,  247,   76,   48,   0,    0,    0
  350,20090727,  177,  118,  262,   73,   46,  15,   12,    8
  350,20090728,  179,  122,  230,  101,   64,   0,    0,    0
  350,20090729,  198,  142,  273,   35,   22,   5,   20,   20
  350,20090730,  161,  110,  208,   80,   51,   8,    5,    2
  350,20090731,  158,   82,  223,  109,   70,   0,    0,    0
