  STN,YYYYMMDD,   TG,   TN,   TX,   SQ,   SP,  DR,   RH,  RHX
  260,19790701,  120,   69,  163,   69,   41,   0,   -1,   -1
  260,19790702,  134,   85,  184,   22,   13,   0,    0,    0
  260,19790703,  157,   89,  210,  117,   70,   0,    0,    0
  260,19790704,  140,   99,  179,   31,   19,   0,    0,    0
  260,19790705,  156,  118,  214,   70,   42,   0,    0,    0
  260,19790706,  167,  102,  215,   61,   37,   0,    0,    0
  260,19790707,  162,  117,  212,   33,   20,  26,   30,   16
  260,19790708,  162,  135,  192,  100,   60,   0,   -1,   -1
  260,19790709,  160,  136,  187,   50,   30,  37,   40,   16
  260,19790710,  157,  101,  200,   75,   46,   0,    0,    0
  260,19790711,  165,  119,  209,   15,    9,   0,    0,    0
  260,19790712,  184,  125,  240,  147,   90,   0,    0,    0
  260,19790713,  161,  116,  225,   20,   12,   3,    3,    3
  260,19790714,  156,   81,  221,   52,   32,   0,    0,    0
  260,19790715,  134,   93,  163,   -1,    0,   0,   -1,   -1
  260,19790716,  140,   93,  170,    0,    0,  50,   14,    5
  260,19790717,  178,  149,  216,   22,   14,  23,    5,    2
  260,19790718,  164,  129,  191,    2,    1,  84,   74,   24
  260,19790719,  138,  117,  150,    0,    0,   1,    1,    1
  260,19790720,  150,  133,  176,   26,   16,   0,    0,    0
  260,19790721,  137,   99,  176,   19,   12,  22,   92,   61
  260,19790722,  137,   93,  172,   43,   27,   1,    1,    1
  260,19790723,  128,   90,  159,    0,    0,   4,    6,    5
  260,19790724,  159,  111,  199,   69,   43,   1,    1,    1
  260,19790725,  173,  135,  212,   50,   31,   0,   -1,   -1
  260,19790726,  184,  137,  235,  117,   74,   0,    0,    0
  260,19790727,  191,  117,  256,   59,   37,   0,    0,    0
  260,19790728,  209,  129,  278,   94,   60,   0,    0,    0
  260,19790729,  185,  171,  211,    4,    3,  24,   60,   29
  260,19790730,  179,  143,  216,   64,   41,   3,    5,    3
  260,19790731,  168,  134,  211,   13,    8,  10,    5,    4
  350,19790701,  128,   94,  161,   55,   33,   0,    0,    0
  350,19790702,  136,   97,  173,    6,    4,   0,   -1,   -1
  350,19790703,  155,   71,  216,  123,   74,   0,    0,    0
  350,19790704,  145,  102,  194,   85,   51,   0,    0,    0
  350,19790705,  154,   87,  206,   62,   38,   0,    0,    0
  350,19790706,  172,  109,  228,   55,   33,   0,    0,    0
  350,19790707,  170,  123,  228,   58,   35,  18,   15,    7
  350,19790708,  162,  132,  209,   94,   57,   0,    1,    1
  350,19790709,  157,  118,  192,   40,   24,  52,   24,    9
  350,19790710,  164,  126,  202,   35,   21,   0,    0,    0
  350,19790711,  167,  121,  211,    9,    6,   0,    0,    0
  350,19790712,  196,  134,  256,  114,   70,   0,    0,    0
  350,19790713,  158,  102,  191,    4,    2,  17,    8,    6
  350,19790714,  154,   87,  232,   47,   29,   0,   -1,   -1
  350,19790715,  142,   88,  182,    1,    1,   0,   -1,   -1
  350,19790716,  138,   79,  167,    0,    0,  17,    4,    3
  350,19790717,  186,  151,  228,   25,   15,  10,    2,    2
  350,19790718,  170,  129,  196,    1,    1,  48,   60,   30
  350,19790719,  142,  128,  158,    0,    0,   0,   -1,   -1
  350,19790720,  153,  135,  184,   10,    6,   0,   -1,   -1
  350,19790721,  144,  123,  189,    9,    6,  17,   28,   21
  350,19790722,  142,  101,  182,   46,   29,   4,   10,    6
  350,19790723,  140,  120,  161,    0,    0,   4,   21,   17
  350,19790724,  159,  118,  207,   82,   52,   0,   -1,   -1
  350,19790725,  173,  135,  221,   44,   28,   0,   -1,   -1
  350,19790726,  186,  128,  249,  116,   74,   0,    0,    0
  350,19790727,  205,  121,  275,   82,   52,   0,    0,    0
  350,19790728,  215,  140,  287,   90,   57,   0,    0,    0
  350,19790729,  188,  162,  230,   16,   10,  23,   56,   51
  350,19790730,  180,  147,  222,   40,   26,   2,    4,    4
  350,19790731,  170,  139,  221,   17,   11,   8,    2,    2
